,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
34,커피나인-이태원점,2022년 3월 16일,5,5,5,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),카라멜 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게잘먹었어요 감사합니다
35,커피나인-이태원점,2022년 3월 16일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),카라멜 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ",맛있게잘먹었어요 감사합니다
36,커피나인-이태원점,2022년 3월 16일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",커피 너무 맛있어요👍🏻👍🏻
37,커피나인-이태원점,2022년 3월 16일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ",오늘도 잘마셨어용~ 맛있어요!!
38,커피나인-이태원점,2022년 3월 16일,5,5,5,"
            나인스쿠키/2(쿠키 선택(더블초콜렛 칩 쿠키))
          ",쿠키 맛있게 잘먹었습니다.
39,커피나인-이태원점,2022년 3월 15일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게잘먹었습니다 감사합니다
40,커피나인-이태원점,2022년 3월 15일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게잘먹었습니다 감사합니다
41,커피나인-이태원점,2022년 3월 15일,3,4,2,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",배달은 이십 몇분만에 왔는데 배달을 다른 곳 들렸다 온건지 커피들이 다 식어서 맛이 없네요.
42,커피나인-이태원점,2022년 3월 15일,5,5,5,"
            라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),바닐라 라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",배달빠르고 진하고 맛있어서 카페인 수혈에 딱입니다😭👍👍👍
43,커피나인-이태원점,2022년 3월 15일,5,5,5,"
            바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치 캔/1(메뉴 선택(과테말라))
          ",맛있게 잘 먹었습니다 :)
44,커피나인-이태원점,2022년 3월 14일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게잘먹었습니다
